date,month,CLE,WHI,LEW,WRS,SHA,KES,ORO,ANT,FRD,DAV,BUL,ENG,FOL,UNV,LON,ICH,NAT,INV,BLB,NHG,CMN,PAR,DON,BRD,TUL,NML,DNP,HTH,BUC,HID,MIL,SNL,PNF,TRM,SCC,ISB,STP,CCH,PYM,CAS,
9/1986,9,1901000,234300,14100,213124,3211300,,2660900,18545,40498,71980,705771,61516,653200,148040,52820,30410,8460,249032,28342,135503,336420,189730,48840,76980,63240,1947900,1672350,276750,101431,21290,158600,1481259,561057,11485,21132,326970,181471,171870,166870,255710,
10/1986,10,1833657,218628,14240,206990,3162426,22161,2593800,17540,39930,70140,663923,59440,558500,142100,46200,26000,8100,247560,18230,131000,317050,174440,25220,75090,59000,1936600,1615000,233500,92110,15890,141300,1628001,533300,17390,9820,268700,180750,169060,164740,254910,
11/1986,11,1785404,203975,13963,178270,3068290,22285,2607400,16576,39620,68480,634972,59300,507800,129400,39700,24200,8340,245864,16210,127400,297270,172830,19340,51190,57960,1942900,1603100,185340,91950,15870,146900,1753022,563800,20950,9886,246101,181491,166440,166820,266660,
12/1986,12,1778817,230975,14352,171020,2973198,21229,2564100,15682,39660,67260,615854,59860,465600,107400,33200,19600,8550,245180,16952,125380,275690,177150,12680,32150,59010,1920300,1524600,152360,92280,16890,159400,1916471,590400,12090,9870,244085,181530,164240,163940,299170,
1/1987,1,1801042,207067,14330,174950,3045350,21829,2584100,15066,40130,66760,605649,60260,456100,105300,30400,16300,8410,247304,20568,123870,257890,182610,12140,28350,58480,1883500,1522500,127320,92910,18340,178000,1996408,612800,16160,11694,244606,182621,162100,156800,305910,
2/1987,2,1873699,205446,14337,193880,3408163,22131,2743700,15133,40980,67610,671207,59120,545800,94400,31500,17400,8440,256048,34090,128960,251160,183990,8510,30430,58880,1866400,1524600,122080,95590,21670,159600,2021105,633400,12250,14440,243787,183168,160800,163100,304470,
3/1987,3,2087686,205004,13793,192170,4182034,21538,3078000,16530,41680,69740,768401,,661500,108300,34100,19400,8002,271150,64790,144110,245150,191590,12480,30310,58830,1849700,1527700,121200,100540,26960,205800,2025295,611700,30670,25870,239861,175960,160500,163120,317590,
4/1987,4,2229004,238600,14345,188080,4035750,22545,3077900,19115,41910,69710,813975,65800,717100,134600,52500,28300,8190,240320,67610,135950,229940,194140,38700,29570,62840,1780200,1441100,184100,101150,29090,246400,1914602,740500,69410,34150,246474,155426,164240,164350,315400,
5/1987,5,2328242,237481,14150,181050,3673649,22570,2928400,19276,39850,68040,811235,65130,736000,137300,66600,34300,8256,196487,65510,120520,208320,190570,59780,44550,64220,1709800,1349700,288730,99330,30000,322400,1583809,784800,105920,34230,273083,101802,152500,160600,299040,
6/1987,6,2306006,237736,14100,168876,3151636,21952,2661900,18529,36711,65699,771794,65320,706200,113100,63600,31900,8500,160140,62716,104267,184200,190110,59871,50941,65129,1598181,1237724,311315,81844,23843,280465,1077695,500621,65111,26656,253648,92540,146028,162333,266279,
7/1987,7,2113048,237100,13668,150944,2619930,21356,2290153,17508,34106,62642,733286,66610,597300,80100,59500,28600,8531,136290,59646,87049,159280,196720,34953,52201,65375,1519496,1117836,290742,66746,11709,204677,715058,175855,24574,13641,198268,90960,140489,157384,260009,
8/1987,8,2027103,237799,14374,139025,2110704,22476,2052510,16437,31913,59668,648216,65417,517300,47700,55300,25100,8073,116325,44141,70078,136610,203290,10689,51194,65399,1465943,993557,264664,40655,9830,183979,543727,108292,12723,6514,163733,89417,132800,162246,242049,
9/1987,9,1813101,230000,13815,132830,2108216,22211,1978538,15630,30835,57491,614600,65040,429700,31500,51100,21800,8700,111400,31493,59230,117930,206470,7789,28150,59808,1443100,933500,232500,30293,9648,167700,688082,125453,9636,4597,151208,88062,128352,164991,247945,
10/1987,10,1588329,210006,14225,126688,2230534,22764,1976965,14789,30472,55713,584242,62330,310400,46117,35399,15872,8040,110250,24234,56202,109080,198500,8797,19928,44492,1451235,911042,202210,30104,9750,150200,753936,147988,8727,4216,143677,87090,127880,161071,218871,
11/1987,11,1492198,205534,13911,121480,2339705,22377,2069358,14202,30364,54504,561823,59511,261400,69961,16927,10428,8223,109525,22754,54121,104200,192500,13651,17530,36243,1449052,877256,183360,29984,10347,178968,940812,165486,13797,6720,142661,86496,124620,163929,238781,
12/1987,12,1623015,205464,13565,160435,2915081,22248,2388007,14231,30667,54884,624644,58880,300800,64966,19321,9656,8242,123246,39735,52652,99430,190930,16987,15836,57037,1429934,875868,165972,30336,11401,212396,1267855,194083,13959,10418,143410,86552,124100,160548,286608,
1/1988,1,1685058,205446,13822,191541,3401029,22620,2649289,14188,31137,55043,665090,59612,400500,62824,21641,11024,7955,153550,37020,55187,108520,185140,16180,16140,57150,1444413,940700,152360,31690,14060,267565,1610486,260554,9560,8760,144430,78805,124300,161146,307840,
2/1988,2,1771450,205446,13720,193313,3582502,21970,2701689,14415,31623,54315,657813,59238,446900,54196,14324,11028,8471,155663,52486,55250,110440,175910,14917,24149,59970,1445300,983725,139450,32189,15524,215700,1718108,281961,18315,13080,136036,78893,124100,163463,294009,
3/1988,3,1853500,205741,14046,190805,3576100,23160,2661680,15488,31991,54536,693905,63701,478400,56276,19346,13396,8021,137480,53967,55412,99400,173420,19785,25462,61119,1383900,916763,143635,33188,18197,253900,1781370,240676,33807,16718,129020,81260,126535,165485,298038,
4/1988,4,1917316,235961,13815,188075,3232964,21440,2552740,16352,32002,53811,735572,65410,504300,67975,28865,17465,8120,118875,54490,52000,88330,169360,41704,23526,64538,1359136,931177,194800,34339,21260,319995,1842590,294388,62680,19961,132548,83548,124100,158097,312702,
5/1988,5,2012951,238535,13815,183628,2965098,21952,2478918,16183,29423,52041,753134,65186,485300,84431,32417,20530,8242,110300,54944,48302,76260,167360,53915,34235,65994,1278828,963526,297360,34284,22762,351701,1685940,411176,101873,22372,155688,85711,122800,162534,292080,
6/1988,6,2075372,237450,14158,176572,2590070,21374,2238794,15728,26030,50246,731564,65550,434200,86842,29239,20170,8320,90700,52580,39000,57960,178150,49085,35921,65770,1207100,1003400,312800,33657,11401,288400,1229080,300100,85262,20957,143518,84652,115400,163438,264008,
7/1988,7,1929036,238119,13963,165125,2032300,21520,1867685,14993,25732,47719,659900,65740,294700,82421,16820,17442,8120,68170,47120,28480,37670,188090,19232,43643,65609,1124000,937000,285400,31221,10141,176000,689933,67789,28033,13546,99120,82417,107600,163212,244406,
8/1988,8,1711810,238311,13417,156342,1654011,21750,1645221,14273,23506,45239,582370,65767,242600,73600,5170,15020,7903,56566,45580,19448,22670,191310,6539,30713,65449,1054566,920351,262030,11277,9870,146673,423039,49037,6508,9408,80629,67408,103025,162960,225161,
9/1988,9,1479050,238279,14225,148067,1585923,22229,1528900,13623,22754,43084,541732,63860,218200,53560,4330,12600,8150,52972,33609,15431,9630,193740,10067,23184,35820,989252,930453,236365,10931,9635,145938,487973,62744,5926,6986,75110,60921,99150,165244,205133,
10/1988,10,1270900,206477,13646,148067,1631499,21775,1506898,13153,22506,41691,507361,63135,175600,46000,3423,10200,8501,50578,25489,15431,9980,185660,11064,20258,35705,971816,961300,211454,10775,9482,139400,516875,66679,5660,5559,73343,59681,95000,162333,154490,
11/1988,11,1230327,204474,13778,138792,1822868,22112,1605991,13998,21744,45837,552290,60642,198600,46700,9109,10800,8077,52510,30676,14933,9860,180170,7069,25104,49353,937317,992800,178900,10775,9679,159200,658461,81229,9382,7138,73107,60315,92550,158331,180267,
12/1988,12,1249584,205299,13837,138864,1774106,21952,1660266,13713,23272,43029,558611,59360,246500,41300,11510,9610,7838,53924,32719,16006,9650,174960,9999,23074,55260,920121,1023472,144445,11318,10505,185300,854053,102131,13325,8325,73545,60489,91687,157630,258435,
1/1989,1,1276126,205004,13866,139730,1878483,21611,1699766,13824,23609,42974,572212,59622,309500,35100,12686,9640,7955,57822,40539,18065,9640,168720,10361,24574,56673,921971,1057190,116507,11966,11337,219200,1180796,120195,15482,10774,71971,61028,90791,163048,300343,
2/1989,2,1306606,205299,13925,136803,1896342,22001,1716489,14602,25103,44111,618619,61909,397500,35000,16181,10800,8148,58572,45737,19880,9220,162910,13136,20925,56235,938286,1098157,101928,13273,12963,231500,1209118,147580,17261,17046,73377,62118,91101,159989,302851,
3/1989,3,1665026,209056,13720,192191,3288857,20961,2867122,22490,33203,57491,818913,70469,748300,111800,40144,21200,7890,87940,107774,38518,23000,192250,23651,53671,58150,985600,1183542,145255,18300,19050,297400,1491534,166536,35756,31766,107267,77422,90665,157691,308057,
4/1989,4,1842143,230216,14218,193246,3742643,22149,3343930,23125,37018,61010,874962,67788,947500,192500,60102,34400,8620,72661,117333,41401,80710,189410,52867,79109,61777,975400,1175823,230156,19256,21876,355000,1529993,297298,92432,39157,157049,96081,87860,165549,312002,
5/1989,5,1891932,238183,14300,188739,3453492,22526,3278807,23059,35143,60203,930586,67043,944200,254400,70222,43300,8060,61310,107963,37473,134270,204730,63124,97349,65994,908956,1224458,343934,19236,22931,381100,1276306,382558,129022,41969,184739,100692,82577,160710,292332,
6/1989,6,1909159,238055,14397,182501,2988975,22094,3092775,22176,32407,58080,928806,66728,866700,275000,75234,45400,7870,52272,95450,32643,161950,201290,62764,97421,65252,857467,1280002,357208,17802,22686,311900,671333,185878,60285,36946,172161,102739,78620,161820,253180,
7/1989,7,1729184,238343,14083,174968,2530617,22297,2628087,20409,29206,55139,840356,67138,682300,240100,67419,41500,8631,34470,79848,27756,148480,204600,55587,89318,65215,769418,1170697,327008,10685,11910,166300,268174,35844,14700,20541,130978,100962,74869,166936,212404,
8/1989,8,1564491,238343,14160,167667,2110882,21890,2283529,18787,25791,52999,712046,67525,598000,201200,60934,34300,7990,22727,59567,22191,145820,196940,39756,80615,65079,699400,1086015,282348,10349,6149,143100,188453,32761,7334,11008,102795,98817,71540,153099,169610,
9/1989,9,1376159,236465,13670,161390,2095977,22482,2150283,17597,24715,51398,620888,63420,570500,161900,61215,30500,8190,21621,46232,21706,142890,198780,19883,74893,63725,671900,1070733,237886,10184,6068,139900,364771,36928,7058,8032,95498,97981,66100,160150,184128,
10/1989,10,1279219,212520,13837,157849,2282688,22001,2145723,16537,24406,51184,615674,59605,440600,175545,53893,27690,7988,21717,33262,21662,151430,187000,17900,54900,55900,714800,1102000,208600,10092,6100,141800,605895,48231,8281,7118,91337,99680,64023,165130,183980,
11/1989,11,1267404,204209,13850,152090,2103242,22057,2125012,15570,24541,51154,602319,59814,341500,191403,41710,26070,7910,21683,30196,19673,160300,189100,10440,54300,54300,734500,1135000,176200,10087,6507,149100,870050,58085,9410,7424,89694,99433,61896,155951,194380,
12/1989,12,1258839,205211,13918,145487,2053637,22764,1888799,14451,24579,50276,575436,59598,312300,184908,33724,26685,7847,21510,29418,17397,174700,186900,9000,33100,54500,763400,1167000,142200,10203,6988,162600,1228224,67276,8870,8222,85978,98327,60194,157126,216770,
1/1990,1,1314560,206360,14083,157771,2316671,21713,1895501,14616,24879,50729,606359,59547,339700,182966,33374,27945,7809,26937,38460,21255,189900,185800,10200,26700,56600,777100,1210000,113300,11093,8071,183800,1554851,80352,9863,10096,85263,99227,59441,161433,260680,
2/1990,2,1340026,206094,13955,165915,2428734,21307,1935355,14789,25347,51489,639369,59810,378200,181060,30801,28906,7913,31722,41795,31507,188200,196100,14500,21000,55200,800100,1262000,92000,12433,9339,204700,1659787,98938,12367,12564,81570,99207,58814,160486,302851,
3/1990,3,1431313,205741,13631,165936,2709100,21062,2091865,17181,27344,54726,754276,62027,502700,201655,39669,32594,7885,34890,48991,42390,200300,191500,11600,36500,58000,769400,1297000,95700,13888,11916,249500,1838781,105737,29677,18175,78275,99934,57566,158788,314150,
4/1990,4,1497711,216683,14397,164983,2484182,22790,1871358,19765,28318,55713,832239,66180,525200,245563,57081,36910,8223,35250,49579,44369,190100,194000,51700,38600,61300,714600,1289000,161500,14219,14002,305200,1971565,211731,57458,20213,83957,105113,55804,161845,316505,
5/1990,5,1597953,232698,13727,167872,2476623,21995,1727608,20016,25870,54948,852584,68154,566800,259528,70908,43020,8010,36878,54117,40820,187200,191500,59600,68500,64100,633900,1249000,234500,14242,15029,350200,1672133,306003,88527,22026,94365,97574,52149,164472,293650,
6/1990,6,1627836,237863,14128,163612,2357900,22192,1692620,19972,24044,53062,929545,67565,524700,264296,72770,44801,8242,37087,51393,36053,185600,188200,58200,77700,65000,567900,1221000,244700,13894,15195,316500,1194771,204870,52388,19383,89694,95340,43052,158986,273595,
7/1990,7,1467519,238087,13700,156518,2060968,22266,1446234,18921,22044,50608,786967,67232,249000,226552,64468,43961,8280,36356,46753,30242,179000,183900,52300,59900,63400,479700,1096000,219900,10092,6980,268500,709258,57296,15037,12678,67712,93564,40656,162546,259084,
8/1990,8,1343805,238375,13911,149501,1692910,22570,1187386,17872,20604,48307,737623,67035,191400,188042,55065,39887,8044,35320,41500,23592,172800,177600,33200,49800,64700,411500,998100,179000,9763,5889,198700,490766,29050,11113,8383,51515,91543,36885,155281,268099,
9/1990,9,1162444,237228,14247,145655,1637368,21026,1163259,17078,20673,46613,714330,65250,178200,153701,53893,39120,7988,34450,26474,20164,172800,173100,20400,46800,61200,377700,992000,137400,9528,5758,183300,488129,29547,8913,5590,48758,90747,34188,162622,268140,
10/1990,10,1002025,221318,13844,142498,1679211,21995,1173203,16329,19558,45040,655647,61516,167965,134907,50214,33296,7782,33580,20178,17135,170070,172140,15930,50104,54374,375664,974711,101480,9328,5634,160138,340198,34535,7424,4252,46859,89053,32606,165346,277866,
11/1990,11,970000,185878,13933,137053,1681100,21970,1155535,15856,19324,44251,607280,59793,172900,118927,45620,28999,7750,32830,20113,15604,156680,163470,12140,45675,54609,365100,1011123,89755,9232,5589,161900,344850,38337,7527,4227,46327,87854,31062,157188,248560,
12/1990,12,955226,184822,13985,132028,1625779,22168,987094,15406,19324,43749,558780,59145,157095,95206,43633,28406,7908,32121,19933,15275,149970,157120,9772,27793,55422,385931,1020375,58123,9209,5742,173706,479478,42304,8655,5049,46063,86759,29494,163489,206580,
1/1991,1,951446,184434,14053,127129,1563761,20787,921058,15037,19332,43139,520130,59081,154955,79728,39129,28185,7660,31475,19539,15088,144140,144010,10530,25800,55870,373300,1004988,32955,9204,6146,192300,610943,44479,11125,6732,45871,85729,29000,160125,195006,
2/1991,2,961278,187072,14023,125356,1542838,20592,937977,15228,19524,42864,502675,60540,167072,69464,36215,28285,8077,31570,20294,15438,139630,136800,11859,23966,55910,372603,993557,24601,9379,6503,182705,681574,46406,12332,7062,45347,85543,27900,166757,167916,
3/1991,3,1035893,206006,13609,197916,2020535,20704,1320262,16662,21303,46555,644200,61240,421546,83165,43752,30881,7110,57714,56314,54669,139750,149490,13839,32666,60166,423122,1066737,49847,25417,23985,288785,1201565,171835,48462,28720,64218,89724,65034,168138,176506,
4/1991,4,1116719,222207,14173,201804,2202204,21983,1599577,19481,22634,48899,764525,66500,595910,134484,38070,31161,7620,63620,85832,59050,130610,162210,10868,40743,62154,433159,1085207,84500,28093,29844,370002,1542231,234883,85111,42023,91929,88443,75252,165968,186761,
5/1991,5,1200487,223379,14494,200902,2086967,22607,1684654,22057,21516,48840,863279,66242,742608,172973,62743,43293,7927,47480,86494,54528,115460,175630,43297,52586,63798,423206,1121968,191464,28468,33000,398217,1432612,362236,141569,44192,138536,87702,74940,161483,221743,
6/1991,6,1158773,237545,13742,194373,1828675,20973,1570271,21548,19216,46866,888517,66736,727588,193686,75024,44845,7983,24724,84287,47795,116230,179660,61639,70059,65104,401992,1134428,327199,17861,30332,391486,1084678,347559,103640,39503,171378,86121,69357,165930,274082,
7/1991,7,1048064,237100,14457,187700,1533742,22670,1449685,20550,16995,44617,842547,67280,617375,172506,72810,44633,8087,4802,77433,40531,114280,177030,47964,68833,65153,339705,1050068,311128,10640,17583,289204,726263,113293,21920,25109,140747,83511,66044,163149,289551,
8/1991,8,871995,238279,14285,180603,1325418,22094,1388101,19498,15780,42809,732084,66720,528246,147219,63228,33380,7842,3914,57862,33453,112390,172480,37766,54539,65042,287469,968734,270318,10330,6995,197244,569441,36029,9361,13768,102966,81792,63561,163740,310669,
9/1991,9,670247,209293,14449,177186,1339851,22507,1399251,18545,15106,41099,621609,64924,506061,130629,55120,26303,7993,3313,40785,27487,113730,171650,31616,39066,37500,296264,946554,234680,10102,5877,174735,653701,42427,8418,10360,98289,80347,60995,164384,296189,
10/1991,10,559848,148719,14008,173646,1386373,21429,1353409,17774,15169,39798,554739,61303,418871,137030,41645,19946,7932,2731,29603,24046,121130,173520,19000,41743,54684,293066,934079,203314,9958,5880,167234,740880,59052,9633,8067,93802,79423,52683,164902,260128,
11/1991,11,544921,146991,13837,168753,1319540,21946,1331087,17308,15063,39352,525503,57395,407383,118669,43861,20422,7828,2404,28474,20930,107100,191460,17166,37799,55132,289213,953170,182296,9876,6162,181910,763599,86012,14277,9267,92405,79016,51299,143839,263213,
12/1991,12,540315,147499,13668,167422,1301903,22353,1265734,16952,15063,39013,493164,59159,352219,100003,44080,20544,7823,2447,29992,19265,118910,188390,11537,25556,54705,317490,976959,155300,10025,6705,200208,810305,87295,8563,10481,89655,78594,52853,144281,295447,
1/1992,1,546998,156082,13499,168077,1342876,21593,1277365,16568,15219,38470,465050,59959,349300,85048,40905,19695,7852,3598,33280,20939,116010,192420,10332,22550,55476,328159,1004223,125660,10680,7581,230133,1106234,110769,10926,11383,88880,78102,52900,159357,304811,
2/1992,2,683755,208640,13925,216407,1966077,22720,1535990,16748,15584,39274,555075,63595,501556,100836,37708,18928,7814,22339,78745,57212,125680,199520,7899,25760,58951,374250,1078757,124764,23008,15907,283117,1393332,163330,6490,18046,89422,79334,139080,162095,310233,
3/1992,3,821398,214506,13653,240505,2388399,21574,1775113,17141,15426,40008,640177,62303,606505,136618,29148,18733,7570,31893,113368,70952,147460,194720,5010,33989,56552,422614,1159646,111476,26788,21764,377583,1899427,208605,20599,24395,89073,81153,165104,161183,313096,
4/1992,4,1059777,229119,13985,241523,2671050,21014,2017514,17597,14776,39144,713940,67272,696087,160486,49503,27129,7571,29606,126160,71944,135120,196440,32191,40701,61671,365134,1158799,172188,28168,25780,443297,1855018,268757,57545,27194,116375,81242,177998,163426,305156,
5/1992,5,1143814,238631,14419,239829,2586447,21877,1879385,17102,11996,37347,681099,66610,656636,151631,58378,30820,7683,10785,119205,62201,116160,198220,61605,50677,65264,285900,1100603,251236,27977,26884,435688,1571692,357024,88881,26297,153550,79860,178576,166681,312177,
6/1992,6,1029804,239143,14285,232927,2411148,21598,1746733,16445,10666,35405,625947,67035,466991,145770,52837,28929,8471,6388,115753,51690,115710,177950,51854,45886,65559,232078,1017285,248644,27482,24080,274344,1121789,163059,33528,18490,143571,78769,176066,162283,307428,
7/1992,7,958770,237545,14434,225537,2190862,21768,1562893,15810,6577,33409,588589,67177,299171,139680,46566,25736,8311,5511,106758,41894,115530,168300,40552,38691,65757,176298,911756,243668,12811,12043,206446,677191,56721,11579,11615,114016,78208,171291,159902,297059,
8/1992,8,897466,237545,14472,218379,1884925,19377,1406168,15088,8924,31373,547045,66461,192782,123942,31506,23818,7611,4882,69373,33232,112390,163510,25637,35520,65166,116274,814974,215823,10403,5833,168492,413450,33548,7705,6253,89616,77214,163600,164877,270511,
9/1992,9,838273,238407,14374,211638,1683200,21325,1316867,14458,8803,29611,533956,65201,171626,103512,30454,23316,8073,4224,51804,29138,113220,157470,12661,31043,64698,83839,776748,189896,10165,5718,164637,476863,31180,6263,4550,84106,75922,156536,158788,257336,
10/1992,10,753586,237355,14449,206352,1699550,22739,1305700,14195,8851,29003,507996,60737,158000,89861,30071,19386,7732,3734,44097,25449,113500,145600,10000,28800,59700,86920,748700,168000,10029,5811,165900,362822,39447,9435,3884,83661,74727,152881,164321,238029,
11/1992,11,667111,192640,14000,199865,1827059,21489,1294128,13845,8803,28148,484227,61339,157200,84233,23855,19654,7530,3271,42283,22255,100900,146300,9420,29600,55100,91020,758400,148000,9967,6142,159400,380915,53108,9608,5346,82886,73478,150457,167600,218367,
12/1992,12,689571,178621,13793,228418,2088734,21927,1402048,14337,9284,29154,516076,61716,259900,76424,23960,18475,7345,14500,39400,27311,90200,157400,8720,24100,54200,115600,815900,118300,11687,7958,179200,524416,76970,9372,8497,82263,73932,150687,161221,239421,
1/1993,1,751532,181843,13881,249582,2765045,21574,2001921,15059,10096,31122,673329,61457,477700,96300,29370,16555,8120,77972,32594,116719,133900,184000,8020,22800,53700,263600,1064000,104600,59221,33584,343700,1190213,236861,9863,11912,98413,75665,191051,167089,267158,
2/1993,2,894831,197759,13793,251483,3459209,21465,2509679,14862,10939,32916,701789,70200,504500,118332,19292,13439,7372,110244,59965,160193,194000,179800,7360,21000,54500,367800,1234000,78500,79487,40182,448700,1634837,349887,7297,18730,111418,76763,191540,161633,315689,
3/1993,3,1271113,226193,14030,246284,3791527,21145,2935879,22158,24773,45837,809569,70314,622800,168526,26282,13547,7927,133455,128864,197689,250900,194200,7520,62500,57100,511000,1476000,81000,99010,55712,451300,1804747,514098,45150,33825,151708,79440,191327,164940,320112,
4/1993,4,1398608,233991,14188,245728,4263394,22670,3273870,23896,35729,60673,823051,68160,861400,211780,21860,17390,7710,140116,136868,212138,279200,190500,25200,97100,61600,581500,1595000,98800,108123,67404,365100,1940946,587696,87575,43883,237143,112010,191050,163929,301928,
5/1993,5,1838585,239943,14255,246019,4470933,21683,3515972,23876,39799,60673,924786,70527,953000,262459,61974,36214,7660,142726,138912,202465,349300,191200,64000,96900,65200,684400,1776000,263400,110404,65371,443000,1668093,822873,137989,53286,369205,160514,191110,165358,284864,
6/1993,6,2066646,238439,13712,242151,4320944,21683,3487573,22900,39568,68908,931899,67280,927400,271804,73693,43224,7503,144076,130165,189909,405400,205600,62800,96300,65400,798000,1966000,357000,107358,59334,513800,1313472,925130,122476,58087,416882,177960,189804,163917,294030,
7/1993,7,2065611,239271,13822,233770,3909772,19726,3118405,21774,36467,66263,854133,67169,732800,261279,65736,39800,7927,142262,122431,171112,354200,188300,61500,97600,65700,766700,1954000,357200,97716,42471,399600,1064794,750540,37186,51096,376122,174288,186218,160250,295172,
8/1993,8,2011204,239111,13734,225088,3432134,20129,2710315,20269,33032,63779,755379,67011,614200,218244,60405,36381,7377,139832,77775,152387,328000,177200,50900,91800,65100,712000,1808000,339300,91877,30268,207200,1040364,536322,6741,35609,311772,172500,181498,163627,278438,
9/1993,9,1947651,238695,13756,218208,3101762,21044,2665948,19107,31557,61687,705263,65685,562900,182683,53108,35329,7723,137788,54868,137815,317500,177200,35500,88500,64300,670700,1690000,314100,87301,29853,179300,1294245,428303,4557,23378,270234,170696,177479,156477,262916,
10/1993,10,1925929,236815,13793,211113,2957021,20740,2657674,18272,31325,61145,658673,48332,467526,178901,42708,31622,8426,136696,43661,128803,306350,173500,29641,73097,54652,682746,1609590,289278,85781,26698,157792,1591983,336965,5031,13129,245951,170435,174288,163375,247178,
11/1993,11,1881482,206359,13896,203568,2920194,21896,2627062,17252,31159,60404,592116,46047,429596,155903,42141,29967,7885,135968,39064,122816,299590,171630,11053,71712,54929,709003,1599851,268724,85618,24510,181595,1692739,358940,7092,10199,243861,169597,172418,160872,203241,
12/1993,12,1892487,205446,13986,206094,2961948,21568,2429938,16685,31391,60505,555310,57570,393131,131200,41724,26802,8134,138460,33830,119265,292340,177770,12909,45902,55704,747513,1589084,258005,86105,24962,227937,1985549,388603,8090,10365,242524,169452,172417,160299,225746,
1/1994,1,1934852,205829,14030,214207,3058411,21689,2410233,16038,31590,60236,518681,60599,355148,127362,34495,24589,7795,140870,42368,117792,278840,184500,6297,27673,56040,774252,1569842,248300,86716,26078,251988,2031140,410881,7997,11194,240599,169135,171741,165194,244120,
2/1994,2,1961942,206123,13941,244225,3298496,20752,2488895,16099,31946,61145,546479,60264,377444,117948,35248,23197,7970,150870,64230,128623,270560,185040,5670,20736,54577,792033,1591233,240090,89095,29253,278987,2031013,439947,6503,18498,234660,170030,179453,162822,275624,
3/1994,3,2031197,205240,13823,243147,3495467,20691,2624062,17556,32769,63020,604443,59858,409462,148793,28581,21274,8158,153760,69111,127726,257950,184710,4932,26622,57523,742071,1633586,199522,89921,31571,325545,1997419,476518,28394,27293,229094,164933,181764,164839,294981,
4/1994,4,1980342,238663,14075,242648,3533731,19898,2636169,19183,32025,63089,645924,59303,445594,165002,44610,27785,8035,138712,51926,118773,239150,183250,23610,34344,60039,691451,1613933,235689,90530,34241,377215,1792193,547127,61765,32784,231181,136767,180942,159604,277927,
5/1994,5,1884400,237513,13993,240453,3460455,21768,2532082,19687,30245,61959,669844,59102,471949,179469,62625,35140,8105,120475,51272,107469,218240,187400,54266,52787,64735,649505,1650103,338128,77598,36930,434316,1570063,657732,118131,39995,258469,80293,179160,166451,286775,
6/1994,6,1685578,237545,14000,231249,3265268,22136,2316197,18804,27037,59335,634461,59353,414100,163202,65537,36605,8021,93930,46639,90339,208304,183370,55967,54315,65375,578799,1577303,354264,59603,29182,363469,1016523,466852,96432,31039,238020,75768,175042,159989,254893,
7/1994,7,1472974,237831,14045,220830,2849680,21604,2024329,17645,24570,56453,587056,66508,318576,151747,52518,36158,7861,77224,41436,71484,202410,170890,47547,44006,65276,495715,1453063,329300,38148,13293,255876,488206,184911,27525,18397,176659,73713,167743,157630,267659,
8/1994,8,1279219,237323,13624,210994,2449350,22094,1806248,16499,22246,55107,531499,67145,249401,139644,37687,35384,8148,64468,37605,54106,186940,172830,35161,33311,64465,421012,1325209,297730,29200,5975,183129,298254,92441,3153,10142,129120,69095,157887,164056,266339,
9/1994,9,1214884,238023,14299,205180,2101642,20739,1683158,15607,21631,51611,506599,65317,216896,122586,32574,32675,7903,62790,26117,40938,188880,174330,26236,29400,58151,379213,1270912,265544,28787,5877,183793,490921,102893,2865,6061,118296,67330,150508,160026,236622,
10/1994,10,1177986,224520,13941,198099,2024178,21002,1585818,14833,21375,50126,484196,58966,204796,109044,31756,24889,8016,50914,16656,34062,193230,172730,14600,28800,57500,382300,1255000,234200,,5946,198100,617952,137373,7112,5261,116888,68843,146266,160809,197435,
11/1994,11,1168399,205799,13587,196230,2020535,21128,1567602,14616,21604,50759,477470,59088,189523,113584,34808,22339,7899,51250,16253,30440,194440,155880,8520,34000,55500,393800,1318000,220600,28644,6650,197200,858423,161751,8259,6620,116375,67677,143966,157728,180235,
12/1994,12,1158475,206978,13741,199727,2042641,20877,1668244,14451,21915,51123,530560,60075,252277,120445,36251,21255,8124,54685,19691,30860,205520,148640,7750,20700,56100,425400,1412000,196800,29200,7881,216800,1196575,205196,8256,9190,115585,68678,142580,159505,147127,
1/1995,1,1565356,207422,14247,319610,3519356,20100,2708222,16779,25014,57361,783870,71040,559076,170813,39178,21121,7640,178938,31005,136537,247060,196200,6050,38400,57900,605700,1671000,177300,63940,38207,402200,1789637,367731,6609,10817,142075,74303,162841,160959,170390,
2/1995,2,1821251,206300,13903,245808,3448519,22427,2641052,19868,31104,62164,729006,64616,574195,176923,23767,18003,8002,193055,53520,147967,245900,206490,15300,33400,55800,700600,1622000,141200,71911,42525,436500,2024025,473627,7899,15408,168865,80400,144191,164056,189781,
3/1995,3,2120981,215200,13440,288206,3927860,21659,2773891,22881,50670,74971,783491,70543,584662,230495,38076,24366,7755,278343,82146,248664,317901,199060,26300,78500,59200,1009000,1812000,146700,130259,70716,474600,2034447,802278,70942,44888,266540,112747,143842,167115,300321,
4/1995,4,2262205,230404,13978,246761,4165106,20428,3159172,25183,58171,78646,879691,73166,756744,262286,35342,24195,7665,287386,128571,271524,275700,206890,40600,95300,59600,1184000,1674000,159700,140722,79599,346700,2026819,695817,44154,49236,293068,145604,143867,160088,312045,
