station,id,elev,latitude,longitude,county,operating agency,River Basin
WISHON,WSN,6560,37.005,118.969,FRESNO,Pacific Gas & Electric,KINGS R
PINE FLAT DAM,PNF,970,36.833,119.325,FRESNO,US Army Corps of Engineers,KINGS R
TERMINUS DAM,TRM,752,36.415,119.002,TULARE,US Army Corps of Engineers,KAWEAH R
SUCCESS DAM,SCC,692,36.061,118.922,TULARE,US Army Corps of Engineers,TULE R
ISABELLA DAM,ISB,2635,35.646,118.473,KERN,US Army Corps of Engineers,KERN R
STAMPEDE,STP,5956,39.471,120.103,SIERRA,US Geological Survey,TRUCKEE R
INDEPENDENCE LAKE NEAR TRUCKEE,INP,6921,39.452,120.29,SIERRA,US Geological Survey,TRUCKEE R
PROSSER CREEK RESERVOIR,PRS,5622,39.3794,120.1367,NEVADA,US Geological Survey,TRUCKEE R
DONNER LAKE (DWR),DNN,5945,39.333,120.25,NEVADA,US Geological Survey,TRUCKEE R
MARTIS CREEK RESERVOIR,MRT,5745,39.327,120.113,NEVADA,US Army Corps of Engineers,TRUCKEE R
